,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Thermal sensation
7753,3.0,2.0,0.1,28.3,23.1,62.5,26.4,2
7759,6.0,2.0,0.1,28.3,23.1,62.5,26.4,0
7787,3.0,1.0,0.1,23.7,23.1,80.0,16.0,-1
7788,2.0,1.0,0.1,23.7,23.1,80.0,16.0,0
7789,2.0,2.0,0.1,23.7,23.1,80.0,16.0,-1
7790,1.0,1.0,0.1,23.7,23.1,80.0,16.0,-1
7792,4.0,2.0,0.1,23.7,23.1,80.0,16.0,0
7793,2.0,1.0,0.1,23.7,23.1,80.0,16.0,-1
7794,2.0,2.0,0.1,23.7,23.1,80.0,16.0,0
7800,1.0,2.0,0.1,23.7,23.1,80.0,16.0,-1
7802,1.0,1.0,0.1,23.7,23.1,80.0,16.0,0
7811,2.0,2.0,0.1,23.7,23.1,80.0,16.0,-2
7813,2.0,1.0,0.1,23.7,23.1,80.0,16.0,-2
7823,1.0,2.0,0.1,23.7,23.1,80.0,16.0,0
7855,4.0,1.0,0.1,23.7,23.1,80.0,16.0,-1
7860,3.0,2.0,0.1,23.7,23.1,80.0,16.0,-1
7885,4.0,2.0,0.1,23.7,23.1,80.0,16.0,-2
7899,3.0,2.0,0.1,23.7,23.1,80.0,16.0,0
7908,3.0,1.0,0.1,23.7,23.1,80.0,16.0,0
7916,1.0,1.0,0.1,23.7,23.1,80.0,16.0,-2
7944,4.0,2.0,0.1,23.7,23.1,80.0,16.0,-1
7945,3.0,2.0,0.1,21.315,20.3,99.0,7.6,-1
7946,2.0,2.0,0.1,21.315,20.3,99.0,7.6,-1
7947,2.0,2.0,0.1,21.315,20.3,99.0,7.6,0
7948,4.0,1.0,0.1,21.315,20.3,99.0,7.6,1
7952,3.0,2.0,0.1,21.315,20.3,99.0,7.6,0
7953,1.0,1.0,0.1,21.315,20.3,99.0,7.6,0
7954,1.0,1.0,0.1,21.315,20.3,99.0,7.6,-1
7957,2.0,1.0,0.1,21.315,20.3,99.0,7.6,-1
7960,1.0,2.0,0.1,21.315,20.3,99.0,7.6,0
7966,2.0,1.0,0.1,21.315,20.3,99.0,7.6,0
7971,4.0,1.0,0.1,21.315,20.3,99.0,7.6,-2
7974,4.0,2.0,0.1,21.315,20.3,99.0,7.6,-1
7975,1.0,2.0,0.1,21.315,20.3,99.0,7.6,-1
7977,2.0,2.0,0.1,21.315,20.3,99.0,7.6,-2
7978,4.0,2.0,0.1,21.315,20.3,99.0,7.6,0
7991,2.0,1.0,0.1,21.315,20.3,99.0,7.6,-2
8002,3.0,1.0,0.1,21.315,20.3,99.0,7.6,0
8005,6.0,1.0,0.1,21.315,20.3,99.0,7.6,-1
8010,5.0,2.0,0.1,21.315,20.3,99.0,7.6,0
8015,6.0,2.0,0.1,21.315,20.3,99.0,7.6,-1
8024,2.0,2.0,0.1,21.8,20.5,83.0,12.8,-1
8025,3.0,2.0,0.1,21.8,20.5,83.0,12.8,-1
8026,3.0,1.0,0.1,21.8,20.5,83.0,12.8,-1
8027,2.0,2.0,0.1,21.8,20.5,83.0,12.8,0
8028,1.0,2.0,0.1,21.8,20.5,83.0,12.8,0
8029,6.0,2.0,0.1,21.8,20.5,83.0,12.8,-1
8030,3.0,1.0,0.1,21.8,20.5,83.0,12.8,0
8031,1.0,1.0,0.1,21.8,20.5,83.0,12.8,1
8032,6.0,1.0,0.1,21.8,20.5,83.0,12.8,-1
8035,3.0,2.0,0.1,21.8,20.5,83.0,12.8,0
8038,2.0,1.0,0.1,21.8,20.5,83.0,12.8,-1
8042,2.0,1.0,0.1,21.8,20.5,83.0,12.8,0
8043,1.0,2.0,0.1,21.8,20.5,83.0,12.8,1
8045,1.0,1.0,0.1,21.8,20.5,83.0,12.8,0
8047,1.0,1.0,0.1,21.8,20.5,83.0,12.8,-1
8050,4.0,1.0,0.1,21.8,20.5,83.0,12.8,-1
8051,1.0,2.0,0.1,21.8,20.5,83.0,12.8,-1
8057,1.0,2.0,0.1,21.8,20.5,83.0,12.8,2
8103,6.0,2.0,0.1,21.8,20.5,83.0,12.8,0
8109,4.0,1.0,0.1,21.8,20.5,83.0,12.8,0
8120,3.0,1.0,0.1,23.7,23.1,50.0,29.2,0
8121,2.0,1.0,0.1,23.7,23.1,50.0,29.2,0
8122,2.0,2.0,0.1,23.7,23.1,50.0,29.2,0
8124,4.0,1.0,0.1,23.7,23.1,50.0,29.2,0
8129,2.0,1.0,0.1,23.7,23.1,50.0,29.2,-1
8131,2.0,2.0,0.1,23.7,23.1,50.0,29.2,-1
8134,6.0,2.0,0.1,23.7,23.1,50.0,29.2,-1
8139,4.0,2.0,0.1,23.7,23.1,50.0,29.2,-1
8140,2.0,1.0,0.1,23.7,23.1,50.0,29.2,-2
8143,3.0,2.0,0.1,23.7,23.1,50.0,29.2,-1
8144,6.0,1.0,0.1,23.7,23.1,50.0,29.2,-1
8145,4.0,2.0,0.1,23.7,23.1,50.0,29.2,-2
8150,3.0,1.0,0.1,23.7,23.1,50.0,29.2,-1
8157,2.0,2.0,0.1,23.7,23.1,83.0,17.2,-1
8158,4.0,1.0,0.1,23.7,23.1,83.0,17.2,0
8159,2.0,2.0,0.1,23.7,23.1,83.0,17.2,0
8160,2.0,1.0,0.1,23.7,23.1,83.0,17.2,0
8162,4.0,1.0,0.1,23.7,23.1,83.0,17.2,-2
8164,3.0,2.0,0.1,23.7,23.1,83.0,17.2,-1
8166,3.0,1.0,0.1,23.7,23.1,83.0,17.2,-1
8167,2.0,1.0,0.1,23.7,23.1,83.0,17.2,-1
8168,3.0,2.0,0.1,23.7,23.1,83.0,17.2,0
8169,3.0,1.0,0.1,23.7,23.1,83.0,17.2,0
8178,2.0,2.0,0.1,23.7,23.1,83.0,17.2,1
8179,4.0,2.0,0.1,23.7,23.1,83.0,17.2,-1
8186,2.0,1.0,0.1,23.7,23.1,83.0,17.2,-2
8204,3.0,2.0,0.1,23.7,23.1,83.0,17.2,-2
8206,2.0,1.0,0.1,23.7,23.1,54.0,18.0,-1
8207,4.0,1.0,0.1,23.7,23.1,54.0,18.0,0
8208,4.0,2.0,0.1,23.7,23.1,54.0,18.0,-1
8209,2.0,1.0,0.1,23.7,23.1,54.0,18.0,0
8210,2.0,2.0,0.1,23.7,23.1,54.0,18.0,-1
8211,2.0,2.0,0.1,23.7,23.1,54.0,18.0,0
8212,1.0,1.0,0.1,23.7,23.1,54.0,18.0,0
8221,3.0,2.0,0.1,23.7,23.1,54.0,18.0,-1
8222,4.0,2.0,0.1,23.7,23.1,54.0,18.0,0
8224,3.0,1.0,0.1,23.7,23.1,54.0,18.0,-1
