,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Clo,Met,Outdoor monthly air temperature (¡C),Thermal sensation
51132,31.0,1.0,0.1,21.7,23.2,44.5,1.1,1.2,6.3,0.0
51165,31.0,1.0,0.1,22.7,23.4,24.7,0.82,1.2,3.9,0.0
51166,31.0,1.0,0.1,23.2,23.8,23.9,1.09,1.2,3.9,0.0
51174,31.0,1.0,0.1,22.6,24.0,23.7,0.68,1.2,3.9,0.0
51178,31.0,2.0,0.1,23.2,24.2,22.9,0.77,1.2,3.9,0.0
51179,31.0,1.0,0.1,23.7,24.8,22.0,0.82,1.2,3.9,0.0
51188,31.0,1.0,0.1,23.2,23.3,25.6,1.08,1.2,3.9,1.0
51205,31.0,1.0,0.1,22.9,23.4,29.3,0.77,1.6,3.9,0.0
51465,31.0,2.0,0.01,22.0,21.9,31.6,0.85,1.5,1.5,2.0
51467,31.0,2.0,0.01,22.5,22.6,30.9,0.89,1.2,1.5,-1.0
51469,31.0,1.0,0.01,21.6,22.7,31.2,0.95,1.4,1.5,0.0
51470,31.0,2.0,0.01,23.0,22.8,31.3,1.15,1.2,1.5,2.0
51473,31.0,2.0,0.01,23.1,23.4,32.1,0.28,2.0,1.5,0.0
51474,31.0,2.0,0.01,23.4,23.4,31.7,1.05,1.2,1.5,2.0
51475,31.0,1.0,0.01,23.4,23.5,30.8,1.13,1.2,1.5,2.0
51477,31.0,1.0,0.01,22.6,23.2,30.8,0.98,1.2,1.5,1.0
51480,31.0,2.0,0.01,23.2,23.4,32.0,1.0,1.4,1.5,2.0
51482,31.0,1.0,0.01,24.2,25.2,29.1,1.29,1.2,1.5,2.0
51483,31.0,1.0,0.01,23.4,23.5,33.2,0.78,1.2,1.5,-1.0
51484,31.0,1.0,0.01,23.2,24.0,30.4,1.28,1.2,1.5,2.0
51485,31.0,2.0,0.01,23.7,24.3,30.3,1.12,1.9,1.5,1.0
51490,31.0,1.0,0.01,24.1,24.9,32.1,0.92,1.3,1.5,1.0
51493,31.0,1.0,0.01,22.4,22.7,33.4,0.99,1.2,1.5,1.0
51498,31.0,1.0,1.45,24.0,23.0,40.5,0.69,1.2,7.7,-1.0
51499,31.0,2.0,1.46,23.7,24.4,41.0,0.82,1.5,7.7,-1.0
51500,31.0,2.0,1.48,22.8,23.3,42.9,0.68,1.2,7.7,0.0
51503,31.0,2.0,2.5,24.6,24.4,40.7,0.74,1.2,7.7,1.0
51504,31.0,2.0,1.87,24.7,22.5,41.1,1.02,1.2,7.7,1.0
51505,31.0,1.0,1.46,23.8,24.7,42.4,0.8,1.4,7.7,0.0
51661,31.0,1.0,0.1,19.8,20.0,34.0,0.72,1.8,2.7,1.0
51857,31.0,1.0,1.09,22.0,23.4,44.5,0.82,1.2,5.8,0.0
51859,31.0,1.0,1.53,22.4,23.1,44.4,0.8,1.2,5.8,0.0
51860,31.0,1.0,1.43,22.3,23.3,44.1,0.68,1.8,5.8,2.0
51862,31.0,2.0,0.14,24.0,22.9,38.5,0.78,1.2,5.8,-2.0
51863,31.0,1.0,0.39,23.4,23.9,44.9,0.72,1.2,5.8,1.0
51865,31.0,2.0,1.08,22.1,25.5,44.2,0.75,1.7,5.8,0.0
51870,31.0,2.0,0.05,23.5,25.2,40.0,1.1,1.4,5.8,0.0
51871,31.0,2.0,0.34,27.5,20.4,45.8,0.94,1.1,5.8,1.0
51875,31.0,1.0,0.52,24.5,23.4,45.8,0.85,1.2,5.8,-2.0
51876,31.0,1.0,0.25,24.3,24.4,40.0,0.68,1.3,5.8,1.0
51877,31.0,1.0,0.32,24.3,25.2,45.1,0.68,2.5,5.8,-1.0
51878,31.0,1.0,0.3,25.8,24.1,45.5,0.47,2.3,5.8,2.0
51879,31.0,1.0,0.05,26.1,23.0,42.2,0.87,1.8,5.8,1.0
51881,31.0,2.0,0.8,25.4,25.6,46.5,0.95,1.0,5.8,2.0
51884,31.0,1.0,0.28,24.8,20.0,44.0,0.83,1.2,5.8,1.0
51942,31.0,1.0,0.09,21.5,21.6,35.9,0.78,1.6,4.8,0.0
51943,31.0,2.0,0.19,20.8,22.1,35.8,0.71,2.1,4.8,-1.0
51946,31.0,1.0,0.04,24.1,23.7,38.3,0.79,1.2,4.8,0.0
52060,31.0,1.0,0.05,23.4,24.3,39.5,0.67,1.2,8.3,1.0
52061,31.0,2.0,0.04,23.9,24.8,38.1,0.85,1.9,8.3,1.0
52062,31.0,2.0,0.03,23.7,25.0,38.9,0.83,1.6,8.3,1.0
52063,31.0,1.0,0.04,23.1,24.3,40.9,1.14,1.3,8.3,-1.0
52064,31.0,2.0,0.05,23.6,24.7,40.9,1.07,1.3,8.3,1.0
52065,31.0,1.0,0.09,23.0,24.7,41.8,1.03,1.1,8.3,1.0
52182,31.0,1.0,0.41,22.1,22.5,40.8,0.92,2.0,7.7,0.0
52185,31.0,2.0,0.17,24.6,26.0,45.8,1.05,1.2,7.7,0.0
52186,31.0,2.0,0.48,22.2,24.7,43.4,0.85,1.6,7.7,-1.0
52187,31.0,2.0,0.06,22.5,23.3,40.2,0.63,1.4,7.7,1.0
52189,31.0,1.0,0.38,22.9,25.8,44.0,0.72,1.2,7.7,0.0
52190,31.0,2.0,0.17,20.9,24.8,43.6,0.69,1.2,7.7,0.0
52191,31.0,2.0,0.27,21.9,24.1,43.3,0.82,1.2,7.7,-1.0
52192,31.0,1.0,0.09,25.2,23.2,43.8,0.74,1.2,7.7,0.0
52194,31.0,2.0,0.01,27.7,24.9,45.6,0.94,1.1,7.7,-1.0
52196,31.0,1.0,0.08,26.7,22.3,44.5,0.77,1.5,7.7,0.0
